57,笋岗村牌坊
N6,科技中学
E25,奥林华府
615,国展地铁站①
高峰56,留仙洞地铁站
357,深圳东站①
M322,大运地铁接驳站1
M239,火车站西广场
10,华新村
M247环线,华丰工业区公交站②
M239,爱联地铁站
M364,水贝地铁站
214,门诊部1西行方向
M183,田贝①
M315,大运中心
高峰专线138,宝安税务局
113,地王大厦
226,海上世界地铁站
204,南油地铁站②
M198,城市山海云汇
M190,岗厦北地铁站①（北侧）
M519,南山妇幼保健院
假日专线1,宝安中心站
东莞285,碧头地铁站北
85,盐田双拥公园
M415,深圳东站②
M313,深大地铁站
M313,新安税务
M404,草埔地铁站
高峰94,西丽社区①(往南)
M358,广中医深圳医院
M554,科技园①
M324,六约新村东站
225,市妇幼保健院红荔院区（注红荔路）
10,妇幼保健院红荔院区（注红荔路）
977,洪湖公园②
M199,莲塘口岸②
M447,锦龙地铁站
M435,白石洲③
高峰专线22,星光之约
高峰104,西丽社区②(往南)
M451,光明大街地铁站
216,市二医院①
M317,龙岗智慧家园站
M202,海馨苑
高峰专线,南山妇幼保健院
229,南山党校
M334,机场东地铁公交接驳站
M263,星光之约
615,深圳国际会展中心①
M133,湖贝地铁站
M478,沙田地铁站2
M375,君逸世家
M293,坪山中心公园
高峰专线36,丽山路南站（北行）
M182,留仙洞地铁站
72,华侨城医院
M281,万科城②
E39,凤凰城地铁站
326,招商银行大厦②
B604,华为单身公寓北
67,西丽社区①(往南)
M483,大新小学
M157,西岸花园
M166,光明大街地铁站
E10,购物公园地铁站
M521,星光之约
M409,前海湾花园
M209,凤凰岗村
358,大运地铁站①
M133,南油地铁站②
E10,体育馆东
M106,深圳书城
58,市二医院①
M492,西丽社区①(往北)
M266,六约新村东站
E14,一层公交站台
223,岗厦北地铁站②
M422,坪山公安分局
M329,翠北小学
964,坪山围
M547,塘坑地铁站
69,黄贝岭地铁站②
101,岗厦北地铁站①（北侧）
M597,城市山海云汇
M491,石芽岭地铁站
M470,坪洲地铁站
M451,凤凰城地铁站
71,新洲村
M173,翰岭地铁站
B946,赤湾地铁站
23,市慢性病防治院
M103,莲塘口岸②
113,深圳书城
M430,水湾地铁站
E4,民乐地铁站4
395,公园路西一巷
383,群星广场始发站1
高快巴士47,岗厦北地铁站①
49,深南科苑立交北
7,丰泽湖山庄总站
M413,黄田1
337,协和深圳医院东
高峰93,西丽社区①(往南)
M317,龙岗中专
M187,沙田地铁站2
M412,华南城地铁站
321,红岭泥岗立交
M190,地王大厦
深惠3A,爱联地铁站
67,桃源村东
E3,城市山林东
M414,岗厦北地铁站①（北侧）
M202,航苑大厦
高峰专线33,体育馆东
M473,君逸世家
M518,上川地铁站
P385,通新岭地铁站
M359,平吉大道辅岐路口
85,盐田区政府(B站台)
B917A线,深圳北站东广场
E7,民治地铁站
高峰专线73,火车站
M575,江岭路口
M563,塘坑地铁站
316,侨香地铁站
E24,深圳东站东广场
M385,红花岭站（东行）
M361,石湖龙居民小组站
M191,盐田区政府(A站台)
M194,科技园①
M392,翰岭地铁站
85越站车,深圳东站西广场
M282,万科城
308,梅沙街道办
B689,皇岗村
M291,福海站
M448,岗厦北地铁站①（北侧）
303,福田区委
123,群星广场始发站1
620,民治地铁站
M401,翰岭地铁站
P2,市总工会
38,监控中心
64,群星广场
