19,3,龙井地铁站
19,4,新屋村
19,5,珠光地铁站①
19,6,珠光村①
19,7,桃源文体中心
19,8,珠光北路
19,9,众冠花园
19,10,西丽法庭①
19,11,西丽社区②
19,12,茶光
19,13,松坪山
19,14,英伦名苑
19,15,大冲②
19,16,科技园②
19,17,深大北门②
19,18,深圳大学
19,19,桂庙新村
19,20,南山书城地铁站②
19,21,佳嘉豪苑
19,22,创业路东
19,23,海岸城
19,24,滨海之窗南
21,1,紫薇阁总站
21,2,景田北
21,3,监控中心
21,4,妇儿大厦
21,5,景龙小学
21,6,鲁班大厦②
21,7,市政大厦
21,8,香蜜二村
21,9,香梅深南路口
21,10,香蜜湖①
21,11,深南香蜜立交②
21,12,深航大厦①
21,13,竹子林①
21,14,园博园①
21,15,侨城东地铁站
21,16,何香凝美术馆①
21,17,世界之窗①
21,18,白石洲①
21,19,大冲②
21,20,科技园②
21,21,深大北门②
21,22,荔香公园
21,23,南山公安分局
21,24,中山公园东门
21,25,南山农批市场
21,26,中山园
21,27,同乐学校
21,28,同乐村
21,29,同乐村总站（中山园停车场）
21,30,
22,1,荔山工业园总站
22,2,荔山工业园
22,3,万豪月半山
22,4,龙瑞佳园
22,5,龙瑞佳园天桥
22,6,蛇口港地铁站
22,7,海上世界南
22,8,南海玫瑰园西
22,9,南海玫瑰园东
22,10,蛇口广场
22,11,南山妇幼保健院
22,12,蛇口戏院
22,13,蛇口汽车站
22,14,海湾新村
22,15,育才二中
22,16,爱榕园
22,17,兰园
22,18,南门一坊
22,19,荔秀文化街
22,20,南油西地铁站
22,21,城市山林东
22,22,南山村
22,23,南山村北
22,24,南园村
22,25,华联花园
22,26,南山市场①
22,27,田厦村
22,28,南贸市场
22,29,南新深南天桥②
22,30,南山公安分局
22,31,中山公园东门
22,32,南山农批市场
22,33,中山园
22,34,同乐学校
22,35,同乐村
22,36,中山园北总站
23,1,宁水花园总站
23,2,碧波花园
23,3,天井湖
23,4,怡景花园
23,5,水库新村
23,6,水库
23,7,布心花园
23,8,市慢病防治中心
23,9,君逸华府②
23,10,水贝地铁站
23,11,雅仕居
23,12,红岗花园
23,13,宝安北路口
23,14,红岭泥岗立交
23,15,市检察院②
23,16,建设集团
23,17,荔枝公园
23,18,红岭南路②
23,19,埔尾路
23,20,上步小学
23,21,新城市广场
23,22,爱华市场
23,23,上步中学②
23,24,福田村岗边坊
23,25,赤尾地铁站①
23,26,福滨新村①
23,27,福滨新村①
23,28,赤尾地铁站①
23,29,福田村岗边坊
23,30,华强南
23,31,兴华宾馆西
23,32,市委
23,33,大剧院
23,34,荔枝公园
23,35,建设集团
23,36,市检察院①
23,37,红岭泥岗立交
23,38,宝安北路口②
23,39,红岗花园
23,40,雅仕居
23,41,翠竹北
23,42,君逸华府
23,43,市慢病防治中心
23,44,水库
23,45,水库新村②
23,46,怡景花园
23,47,天井湖
23,48,碧波花园
23,49,宁水花园总站
26,1,桃源村总站
26,2,桃源村
26,3,龙珠四路
26,4,龙井路口
26,5,新安学院
26,6,香山西街路口
26,7,白石洲西
26,8,白石洲③
26,9,世界之窗①
26,10,何香凝美术馆
26,11,锦绣中华①
26,12,侨城东地铁站
26,13,园博园①
26,14,竹子林①
26,15,深航大厦①
26,16,喜年中心
26,17,泰然九路
26,18,下沙①
26,19,福田体育公园
26,20,沙嘴路口
26,21,金地花园
26,22,金地一路
26,23,仁爱医院
26,24,新洲村
26,25,市妇幼保健院福强院区
26,26,益田村
26,27,益田花园西
26,28,绒花路口西②
26,29,椰风路口
26,30,福田海关
26,31,福田口岸公交总站
27,1,草埔地铁站总站
27,2,草埔地铁站⑧
27,3,独树村②
27,4,洪湖公园②
27,5,田贝①
27,6,螺岭
27,7,罗湖区委
27,8,冶金大厦
27,9,黄贝岭地铁站③
27,10,黄贝岭
27,11,罗湖体育馆①
27,12,莲塘口岸①
27,13,鹏基工业区
27,14,鹏兴花园六期
27,15,聚宝莲塘路口
27,16,莲塘街道办
27,17,梧桐山新居
27,18,长岭
27,19,长岭东公交场站
27,20,
29,1,草埔吓屋村总站
29,2,绿景山庄
29,3,华港新村
29,4,理想新城
29,5,戒毒所
29,6,布心山庄
29,7,金稻田路口
29,8,翠园中学东晓校区
29,9,东湖路
29,10,景亿山庄
29,11,彩世界家园
29,12,东湖人行天桥
29,13,水库
29,14,水库新村②
29,15,明珠学校
29,16,爱国大厦
29,17,罗湖区委
29,18,京鹏大厦
29,19,湖贝地铁站
29,20,门诊部①
29,21,人民桥
29,22,地王大厦
29,23,红岭南路①
29,24,滨江新村①
29,25,上步南天桥①
29,26,滨河总站
M132,1,松坪山总站
M132,2,沙河西铜鼓天桥
M132,3,白石洲③
M132,4,世界之窗①
M132,5,何香凝美术馆
M132,6,锦绣中华①
M132,7,侨城东地铁站
M132,8,深圳人才园①
M132,9,深航大厦①
M132,10,深南香蜜立交②
M132,11,特区报社①
M132,12,投资大厦②
M132,13,市民广场西
M132,14,海关综合大楼
M132,15,田面
M132,16,上海宾馆西②
M132,17,华富路①
M132,18,市话大厦②
M132,19,华新路
M132,20,华新村总站
34,1,下沙总站
34,2,下沙②
34,3,福田体育公园
34,4,福田实验学校①
34,5,新洲花园
34,6,石厦学校
34,7,福田区委
34,8,皇岗村
34,9,福田保健院
34,10,皇岗中学
34,11,会展中心东
34,12,福华三路口
34,13,大中华国际广场
34,14,市民中心东
34,15,少年宫东
34,16,关山月美术馆①
34,17,莲花中学
34,18,中级法院
34,19,福田党校
34,20,丰泽湖山庄总站
高峰专线36号,1,动物园总站
高峰专线36号,2,动物园
高峰专线36号,3,丽山路北
高峰专线36号,4,桃源街道办
高峰专线36号,5,哈工大园区
高峰专线36号,6,平山一路路口
高峰专线36号,7,平山村南
高峰专线36号,8,红花岭
高峰专线36号,9,众冠花园
高峰专线36号,10,西丽法庭③
高峰专线36号,11,西丽社区②
高峰专线36号,12,茶光①
高峰专线36号,13,松坪学校小学部
高峰专线36号,14,宝深路
高峰专线36号,15,酷派信息港
高峰专线36号,16,科苑北环立交②
高峰专线36号,17,科苑立交南
高峰专线36号,18,科苑北②
高峰专线36号,19,高科技中心
高峰专线36号,20,深大地铁站
高峰专线36号,21,中兴通讯①
